Model,Rule,P,not P,Q,not Q,Picked Items,Solved Correctly,User Prompt,Raw LLM Output
gpt-oss:20b,"If a number is divisible by 2, then it is even.",Divisible by 2,Not divisible by 2,Even,Odd,"['P', 'Q', 'not Q']",True,"Rule: If a number is divisible by 2, then it is even.Items:1. ""Not divisible by 2""2. ""Even""3. ""Odd""4. ""Divisible by 2""",Even;Odd;Divisible by 2
gpt-oss:20b,"If an object floats, then it is less dense than water.",Floats,Sinks,Less dense,More dense,"['P', 'Q']",False,"Rule: If an object floats, then it is less dense than water.Items:1. ""Sinks""2. ""Less dense""3. ""More dense""4. ""Floats""",Floats;Less dense
gpt-oss:20b,"If the door is locked, then you need a key to open it.",Door locked,Door open,Needs key,Does not need key,"['P', 'Q', 'not Q']",True,"Rule: If the door is locked, then you need a key to open it.Items:1. ""Door open""2. ""Needs key""3. ""Does not need key""4. ""Door locked""",Needs key; Does not need key; Door locked
gpt-oss:20b,"If a person is drinking alcohol, then they must be over 18 years old.",Drinking alcohol,Drinking soda,Over 18,Under 18,"['P', 'Q', 'not Q']",True,"Rule: If a person is drinking alcohol, then they must be over 18 years old.Items:1. ""Drinking soda""2. ""Over 18""3. ""Under 18""4. ""Drinking alcohol""",Over 18;Under 18;Drinking alcohol
gpt-oss:20b,"If someone is a bachelor, then they are unmarried.",Bachelor,Married man,Unmarried,Married,"['P', 'Q']",False,"Rule: If someone is a bachelor, then they are unmarried.Items:1. ""Married man""2. ""Unmarried""3. ""Married""4. ""Bachelor""",Bachelor; Unmarried
gpt-oss:20b,"If the plant gets sunlight, then it will grow.",Gets sunlight,No sunlight,Grows,Does not grow,"['P', 'Q']",False,"Rule: If the plant gets sunlight, then it will grow.Items:1. ""No sunlight""2. ""Grows""3. ""Does not grow""4. ""Gets sunlight""",Gets sunlight; Grows
gpt-oss:20b,"If the car has fuel, then it can run.",Has fuel,No fuel,Can run,Cannot run,"['P', 'not Q']",True,"Rule: If the car has fuel, then it can run.Items:1. ""No fuel""2. ""Can run""3. ""Cannot run""4. ""Has fuel""",Has fuel; Cannot run
gpt-oss:20b,"If a shape is a square, then it has four sides.",Square,Triangle,Four sides,Three sides,"['P', 'Q']",False,"Rule: If a shape is a square, then it has four sides.Items:1. ""Triangle""2. ""Four sides""3. ""Three sides""4. ""Square""",Square; Four sides
gpt-oss:20b,"If it is raining, then the ground is wet.",Raining,Sunny,Ground wet,Ground dry,"['P', 'Q']",False,"Rule: If it is raining, then the ground is wet.Items:1. ""Sunny""2. ""Ground wet""3. ""Ground dry""4. ""Raining""",Ground wet; Raining
gpt-oss:20b,"If the temperature drops below zero, then water freezes.",Below zero,Above zero,Freezes,Does not freeze,"['P', 'Q']",False,"Rule: If the temperature drops below zero, then water freezes.Items:1. ""Above zero""2. ""Freezes""3. ""Does not freeze""4. ""Below zero""",Below zero; Freezes
gpt-oss:20b,"If someone is a teacher, then they work at a school.",Teacher,Doctor,Works at school,Does not work at school,"['P', 'Q', 'not Q']",True,"Rule: If someone is a teacher, then they work at a school.Items:1. ""Doctor""2. ""Works at school""3. ""Does not work at school""4. ""Teacher""",Teacher; Does not work at school; Works at school
gpt-oss:20b,"If the machine is working, then the light is green.",Machine working,Machine off,Light green,Light red,"['P', 'Q', 'not Q']",True,"Rule: If the machine is working, then the light is green.Items:1. ""Machine off""2. ""Light green""3. ""Light red""4. ""Machine working""",Machine working; Light green; Light red
gpt-oss:20b,"If a computer is connected to Wi-Fi, then it can access the internet.",Connected to Wi-Fi,Not connected,Access internet,No internet,"['P', 'Q', 'not Q']",True,"Rule: If a computer is connected to Wi-Fi, then it can access the internet.Items:1. ""Not connected""2. ""Access internet""3. ""No internet""4. ""Connected to Wi-Fi""",Access internet; No internet; Connected to Wi-Fi
