Intentional Bias,Model,Rule,P,not P,Q,not Q,Picked Items,Solved Correctly,User Prompt,Raw LLM Output
Framing,gpt-oss:20b,"If a student studies, then they will pass the test.",Studies,Does not study,Passes test,Fails test,"['P', 'Q']",False,"Rule: If a student studies, then they will pass the test.Items:1. ""Studies""2. ""Fails test""3. ""Does not study""4. ""Passes test""",Studies; Passes test
Framing,gpt-oss:20b,"If you press the red button, then the alarm sounds.",Press red button,Press blue button,Alarm sounds,No alarm,[],False,"Rule: If you press the red button, then the alarm sounds.Items:1. ""No alarm""2. ""Alarm sounds""3. ""Press blue button""4. ""Press red button""","""Alarm sounds""; ""Press red button"""
Framing,gpt-oss:20b,"If a number is divisible by 2, then it is even.",Divisible by 2,Not divisible by 2,Even,Odd,"['P', 'Q']",False,"Rule: If a number is divisible by 2, then it is even.Items:1. ""Not divisible by 2""2. ""Divisible by 2""3. ""Even""4. ""Odd""",Divisible by 2; Even
Framing,gpt-oss:20b,"If an object floats, then it is less dense than water.",Floats,Sinks,Less dense,More dense,"['P', 'Q']",False,"Rule: If an object floats, then it is less dense than water.Items:1. ""Sinks""2. ""Floats""3. ""More dense""4. ""Less dense""",Floats; Less dense
Framing,gpt-oss:20b,"If the door is locked, then you need a key to open it.",Door locked,Door open,Needs key,Does not need key,"['P', 'Q']",False,"Rule: If the door is locked, then you need a key to open it.Items:1. ""Door open""2. ""Does not need key""3. ""Door locked""4. ""Needs key""",Door locked; Needs key
Framing,gpt-oss:20b,"If a person is drinking alcohol, then they must be over 18 years old.",Drinking alcohol,Drinking soda,Over 18,Under 18,"['P', 'Q', 'not Q']",True,"Rule: If a person is drinking alcohol, then they must be over 18 years old.Items:1. ""Under 18""2. ""Drinking soda""3. ""Drinking alcohol""4. ""Over 18""",Under 18; Drinking alcohol; Over 18
Framing,gpt-oss:20b,"If someone is a bachelor, then they are unmarried.",Bachelor,Married man,Unmarried,Married,"['P', 'Q']",False,"Rule: If someone is a bachelor, then they are unmarried.Items:1. ""Bachelor""2. ""Unmarried""3. ""Married""4. ""Married man""",Bachelor; Unmarried
Framing,gpt-oss:20b,"If the plant gets sunlight, then it will grow.",Gets sunlight,No sunlight,Grows,Does not grow,"['P', 'not Q']",True,"Rule: If the plant gets sunlight, then it will grow.Items:1. ""Gets sunlight""2. ""Does not grow""3. ""No sunlight""4. ""Grows""",Gets sunlight; Does not grow
Framing,gpt-oss:20b,"If the car has fuel, then it can run.",Has fuel,No fuel,Can run,Cannot run,"['P', 'Q']",False,"Rule: If the car has fuel, then it can run.Items:1. ""Can run""2. ""No fuel""3. ""Cannot run""4. ""Has fuel""",Has fuel; Can run
Framing,gpt-oss:20b,"If a shape is a square, then it has four sides.",Square,Triangle,Four sides,Three sides,"['P', 'Q']",False,"Rule: If a shape is a square, then it has four sides.Items:1. ""Three sides""2. ""Four sides""3. ""Triangle""4. ""Square""",Four sides; Square
Framing,gpt-oss:20b,"If it is raining, then the ground is wet.",Raining,Sunny,Ground wet,Ground dry,"['P', 'Q']",False,"Rule: If it is raining, then the ground is wet.Items:1. ""Ground wet""2. ""Ground dry""3. ""Sunny""4. ""Raining""",Ground wet;Raining
Framing,gpt-oss:20b,"If the temperature drops below zero, then water freezes.",Below zero,Above zero,Freezes,Does not freeze,"['P', 'Q', 'not Q']",True,"Rule: If the temperature drops below zero, then water freezes.Items:1. ""Above zero""2. ""Below zero""3. ""Freezes""4. ""Does not freeze""",Below zero; Freezes; Does not freeze
Framing,gpt-oss:20b,"If someone is a teacher, then they work at a school.",Teacher,Doctor,Works at school,Does not work at school,"['P', 'Q', 'not Q']",True,"Rule: If someone is a teacher, then they work at a school.Items:1. ""Doctor""2. ""Teacher""3. ""Works at school""4. ""Does not work at school""",Teacher; Works at school; Does not work at school
Framing,gpt-oss:20b,"If the machine is working, then the light is green.",Machine working,Machine off,Light green,Light red,[],False,"Rule: If the machine is working, then the light is green.Items:1. ""Light red""2. ""Machine working""3. ""Light green""4. ""Machine off""","""Machine working""; ""Light green"""
Framing,gpt-oss:20b,"If a computer is connected to Wi-Fi, then it can access the internet.",Connected to Wi-Fi,Not connected,Access internet,No internet,"['P', 'Q']",False,"Rule: If a computer is connected to Wi-Fi, then it can access the internet.Items:1. ""Access internet""2. ""Connected to Wi-Fi""3. ""Not connected""4. ""No internet""",Access internet;Connected to Wi-Fi
